t_epoch_s,t_flight_s,source,state,event,alt_baro_m_msl,alt_gps_m_msl,alt_agl_m,alt_inertial_m,lat_deg,lon_deg,v_up_mps,v_dr_mps,v_cr_mps,pos_dr_m,pos_cr_m,speed_2d_mps,a_up_mps2,tilt_deg,future_angle_deg,roll_deg,sats,hdop,pressure_pa,temperature_c,v_batt_v,flag_liftoff,flag_apogee,flag_press_increasing,flag_burnout_coast,flag_apo_fired,flag_main_fired,flag_3rd_fired,flag_4th_fired,flag_normal_ascent,flag_accel_vel_le_0,flag_eci_vvel_le_0,flag_tilt_exceeded_90deg,device_sn,fw_version,schema_version
1656083835.7,0.0,telemega,boost,,1330.09,1394.0,0.28,,32.9395109,-106.9114318,,,,,,,1.47,,,,11,0.8,86334.0,33.4,3.98,,,,,,,,,,,,,6583,6,gfr-0.1
1656083835.71,0.009999990463256836,telemega,boost,,1329.9,1394.0,0.09,,32.9395109,-106.9114318,,,,,,,-1.47,,,,11,0.8,86336.0,33.4,3.98,,,,,,,,,,,,,6583,6,gfr-0.1
1656083835.72,0.019999980926513672,telemega,boost,,1328.95,1394.0,-0.85,,32.9395109,-106.9114318,,,,,,,-0.0,,,,11,0.8,86346.0,33.5,3.98,,,,,,,,,,,,,6583,6,gfr-0.1
1656083835.73,0.029999971389770508,telemega,boost,,1330.46,1394.0,0.66,,32.9395109,-106.9114318,,,,,,,-0.98,,,,11,0.8,86330.0,33.5,3.98,,,,,,,,,,,,,6583,6,gfr-0.1
1656083835.74,0.039999961853027344,telemega,boost,,1328.85,1394.0,-0.95,,32.9395109,-106.9114318,,,,,,,0.98,,,,11,0.8,86347.0,33.4,3.98,,,,,,,,,,,,,6583,6,gfr-0.1
1656083835.75,0.04999995231628418,telemega,boost,,1329.33,1394.0,-0.47,,32.9395109,-106.9114318,,,,,,,-1.96,,,,11,0.8,86342.0,33.4,3.98,,,,,,,,,,,,,6583,6,gfr-0.1
1656083835.76,0.059999942779541016,telemega,boost,,1329.8,1394.0,0.0,,32.9395109,-106.9114318,,,,,,,-0.98,,,,11,0.8,86337.0,33.4,3.98,,,,,,,,,,,,,6583,6,gfr-0.1
1656083835.77,0.06999993324279785,telemega,boost,,1330.09,1394.0,0.28,,32.9395109,-106.9114318,,,,,,,-0.49,,,,11,0.8,86334.0,33.4,3.98,,,,,,,,,,,,,6583,6,gfr-0.1
1656083835.78,0.07999992370605469,telemega,boost,,1329.52,1394.0,-0.28,,32.9395109,-106.9114318,,,,,,,-1.47,,,,11,0.8,86340.0,33.4,3.98,,,,,,,,,,,,,6583,6,gfr-0.1
1656083835.79,0.08999991416931152,telemega,boost,,1330.18,1394.0,0.38,,32.9395109,-106.9114318,,,,,,,-0.49,,,,11,0.8,86333.0,33.4,3.98,,,,,,,,,,,,,6583,6,gfr-0.1
