t_epoch_s,t_flight_s,source,state,event,alt_baro_m_msl,alt_gps_m_msl,alt_agl_m,alt_inertial_m,lat_deg,lon_deg,v_up_mps,v_dr_mps,v_cr_mps,pos_dr_m,pos_cr_m,speed_2d_mps,a_up_mps2,tilt_deg,future_angle_deg,roll_deg,sats,hdop,pressure_pa,temperature_c,v_batt_v,flag_liftoff,flag_apogee,flag_press_increasing,flag_burnout_coast,flag_apo_fired,flag_main_fired,flag_3rd_fired,flag_4th_fired,flag_normal_ascent,flag_accel_vel_le_0,flag_eci_vvel_le_0,flag_tilt_exceeded_90deg,device_sn,fw_version,schema_version,accel_x_g,accel_y_g,accel_z_g,gyro_x_degps,gyro_y_degps,gyro_z_degps,quat_1,quat_2,quat_3,quat_4
1718993659.776,-2553.0199999809265,featherweight,,,,1393.78944,-1.8897600000000239,,32.93937,-106.91119,0.0,,,,,0.0,,,,,,,,,3.695,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1718993660.765,-2552.0309998989105,featherweight,,,,1393.8504,-1.828800000000001,,32.93937,-106.91119,0.0,,,,,0.0,,,,,,,,,3.695,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1718993661.783,-2551.013000011444,featherweight,,,,1393.91136,-1.7678399999999783,,32.93937,-106.91119,0.0,,,,,0.0,,,,,,,,,3.695,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1718993662.775,-2550.0209999084473,featherweight,,,,1393.9418400000002,-1.7373599999998532,,32.93937,-106.91119,0.0,,,,,0.0,,,,,,,,,3.695,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1718993663.766,-2549.0299999713898,featherweight,,,,1394.0028,-1.6764000000000578,,32.93937,-106.91119,0.0,,,,,0.0,,,,,,,,,3.693,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1718993664.785,-2548.010999917984,featherweight,,,,1394.06376,-1.615440000000035,,32.93937,-106.91119,0.0,,,,,0.0,,,,,,,,,3.693,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1718993665.774,-2547.0220000743866,featherweight,,,,1394.12472,-1.5544800000000123,,32.93937,-106.91119,0.0,,,,,0.0,,,,,,,,,3.693,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1718993666.767,-2546.029000043869,featherweight,,,,1394.1552000000001,-1.5239999999998872,,32.93937,-106.91119,0.0,,,,,0.0,,,,,,,,,3.693,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1718993667.783,-2545.013000011444,featherweight,,,,1394.1552000000001,-1.5239999999998872,,32.93937,-106.91119,0.0,,,,,0.0,,,,,,,,,3.693,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1718993668.775,-2544.0209999084473,featherweight,,,,1394.1856800000003,-1.4935199999997621,,32.93937,-106.91119,0.0,,,,,0.0,,,,,,,,,3.697,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1718993669.764,-2543.03200006485,featherweight,,,,1394.21616,-1.4630400000000918,,32.93937,-106.91119,0.0,,,,,0.0,,,,,,,,,3.697,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1718993670.965,-2541.8310000896454,featherweight,,,,1394.21616,-1.4630400000000918,,32.93937,-106.91119,0.0,,,,,0.0,,,,,,,,,3.695,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1718993671.774,-2541.0220000743866,featherweight,,,,1394.21616,-1.4630400000000918,,32.93937,-106.91119,0.0,,,,,0.0,,,,,,,,,3.695,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1718993672.824,-2539.9720001220703,featherweight,,,,1394.21616,-1.4630400000000918,,32.93937,-106.91119,0.0,,,,,0.0,,,,,,,,,3.695,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
