t_epoch_s,t_flight_s,source,state,event,alt_baro_m_msl,alt_gps_m_msl,alt_agl_m,alt_inertial_m,lat_deg,lon_deg,v_up_mps,v_dr_mps,v_cr_mps,pos_dr_m,pos_cr_m,speed_2d_mps,a_up_mps2,tilt_deg,future_angle_deg,roll_deg,sats,hdop,pressure_pa,temperature_c,v_batt_v,flag_liftoff,flag_apogee,flag_press_increasing,flag_burnout_coast,flag_apo_fired,flag_main_fired,flag_3rd_fired,flag_4th_fired,flag_normal_ascent,flag_accel_vel_le_0,flag_eci_vvel_le_0,flag_tilt_exceeded_90deg,device_sn,fw_version,schema_version,accel_x_g,accel_y_g,accel_z_g,gyro_x_degps,gyro_y_degps,gyro_z_degps,quat_1,quat_2,quat_3,quat_4
1719010608.7,0.0,telemega,boost,,1321.28,1390.0,-0.28,,32.9395158,-106.9122654,,,,,,,-1.47,,,,9,0.9,86427.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.71,0.009999990463256836,telemega,boost,,1320.33,1390.0,-1.23,,32.9395158,-106.9122654,,,,,,,-0.49,,,,9,0.9,86437.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.72,0.019999980926513672,telemega,boost,,1321.18,1390.0,-0.38,,32.9395158,-106.9122654,,,,,,,-0.0,,,,9,0.9,86428.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.73,0.029999971389770508,telemega,boost,,1321.37,1390.0,-0.19,,32.9395158,-106.9122654,,,,,,,-0.49,,,,9,0.9,86426.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.74,0.039999961853027344,telemega,boost,,1322.03,1390.0,0.47,,32.9395158,-106.9122654,,,,,,,-0.0,,,,9,0.9,86419.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.75,0.04999995231628418,telemega,boost,,1321.65,1390.0,0.09,,32.9395158,-106.9122654,,,,,,,1.96,,,,9,0.9,86423.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.76,0.059999942779541016,telemega,boost,,1320.61,1390.0,-0.95,,32.9395158,-106.9122654,,,,,,,0.49,,,,9,0.9,86434.0,33.6,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.77,0.06999993324279785,telemega,boost,,1321.75,1390.0,0.19,,32.9395158,-106.9122654,,,,,,,-0.98,,,,9,0.9,86422.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.78,0.07999992370605469,telemega,boost,,1321.18,1390.0,-0.38,,32.9395158,-106.9122654,,,,,,,0.98,,,,9,0.9,86428.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.79,0.08999991416931152,telemega,boost,,1321.09,1390.0,-0.47,,32.9395158,-106.9122654,,,,,,,1.47,,,,9,0.9,86429.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.8,0.09999990463256836,telemega,boost,,1321.28,1390.0,-0.28,,32.9395158,-106.9122654,,,,,,,-0.49,,,,9,0.9,86427.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.81,0.1099998950958252,telemega,boost,,1322.41,1390.0,0.85,,32.9395158,-106.9122654,,,,,,,-0.49,,,,9,0.9,86415.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.82,0.11999988555908203,telemega,boost,,1320.71,1390.0,-0.85,,32.9395158,-106.9122654,,,,,,,-0.49,,,,9,0.9,86433.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.83,0.12999987602233887,telemega,boost,,1321.56,1390.0,0.0,,32.9395158,-106.9122654,,,,,,,-0.49,,,,9,0.9,86424.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.84,0.1399998664855957,telemega,boost,,1321.09,1390.0,-0.47,,32.9395158,-106.9122654,,,,,,,-1.47,,,,9,0.9,86429.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.85,0.14999985694885254,telemega,boost,,1321.09,1390.0,-0.47,,32.9395158,-106.9122654,,,,,,,1.47,,,,9,0.9,86429.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.86,0.15999984741210938,telemega,boost,,1321.28,1390.0,-0.28,,32.9395158,-106.9122654,,,,,,,-0.49,,,,9,0.9,86427.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.87,0.1699998378753662,telemega,boost,,1321.47,1390.0,-0.09,,32.9395158,-106.9122654,,,,,,,0.49,,,,9,0.9,86425.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.88,0.18000006675720215,telemega,boost,,1321.75,1390.0,0.19,,32.9395158,-106.9122654,,,,,,,-2.45,,,,9,0.9,86422.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.89,0.19000005722045898,telemega,boost,,1321.84,1390.0,0.28,,32.9395158,-106.9122654,,,,,,,1.47,,,,9,0.9,86421.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.9,0.20000004768371582,telemega,boost,,1320.61,1390.0,-0.95,,32.9395158,-106.9122654,,,,,,,-0.98,,,,9,0.9,86434.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.91,0.21000003814697266,telemega,boost,,1320.52,1390.0,-1.04,,32.9395158,-106.9122654,,,,,,,3.92,,,,9,0.9,86435.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.92,0.2200000286102295,telemega,boost,,1319.95,1390.0,-1.61,,32.9395158,-106.9122654,,,,,,,1.96,,,,9,0.9,86441.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
1719010608.93,0.23000001907348633,telemega,boost,,1321.37,1390.0,-0.19,,32.9395158,-106.9122654,,,,,,,76.98,,,,9,0.9,86426.0,33.7,4.0,,,,,,,,,,,,,6583,6,gfr-0.1,,,,,,,,,,
