t_epoch_s,t_flight_s,source,state,event,alt_baro_m_msl,alt_gps_m_msl,alt_agl_m,alt_inertial_m,lat_deg,lon_deg,v_up_mps,v_dr_mps,v_cr_mps,pos_dr_m,pos_cr_m,speed_2d_mps,a_up_mps2,tilt_deg,future_angle_deg,roll_deg,sats,hdop,pressure_pa,temperature_c,v_batt_v,flag_liftoff,flag_apogee,flag_press_increasing,flag_burnout_coast,flag_apo_fired,flag_main_fired,flag_3rd_fired,flag_4th_fired,flag_normal_ascent,flag_accel_vel_le_0,flag_eci_vvel_le_0,flag_tilt_exceeded_90deg,device_sn,fw_version,schema_version,accel_x_g,accel_y_g,accel_z_g,gyro_x_degps,gyro_y_degps,gyro_z_degps,quat_1,quat_2,quat_3,quat_4
1755799903.852,-2.02,blueraven_hr,,,,,,,,,,,,,,,-9.80665,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.06,-1.0,-0.01,0.1,-0.3,-0.1,1.0,0.0,-7e-05,0.0
1755799903.854,-2.018,blueraven_hr,,,,,,,,,,,,,,,-9.7085835,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.06,-0.99,-0.02,0.1,-0.1,0.0,1.0,0.0,-7e-05,0.0
1755799903.856,-2.016,blueraven_hr,,,,,,,,,,,,,,,-9.80665,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.06,-1.0,-0.02,-0.1,0.0,0.0,1.0,0.0,-7e-05,0.0
1755799903.858,-2.014,blueraven_hr,,,,,,,,,,,,,,,-9.80665,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.06,-1.0,-0.02,0.1,-0.2,0.0,1.0,0.0,-7e-05,0.0
1755799903.86,-2.012,blueraven_hr,,,,,,,,,,,,,,,-9.610517,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.06,-0.98,-0.01,-0.1,0.0,-0.1,1.0,0.0,-7e-05,0.0
1755799903.862,-2.01,blueraven_hr,,,,,,,,,,,,,,,-9.80665,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.06,-1.0,-0.01,0.1,-0.2,0.0,1.0,0.0,-7e-05,0.0
1755799903.864,-2.008,blueraven_hr,,,,,,,,,,,,,,,-9.7085835,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.06,-0.99,-0.02,0.0,0.0,0.0,1.0,0.0,-7e-05,0.0
1755799903.866,-2.006,blueraven_hr,,,,,,,,,,,,,,,-9.80665,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.07,-1.0,-0.01,0.1,-0.2,0.0,1.0,0.0,-7e-05,0.0
1755799903.868,-2.004,blueraven_hr,,,,,,,,,,,,,,,-9.7085835,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.06,-0.99,-0.02,0.0,0.0,0.0,1.0,0.0,-7e-05,0.0
1755799903.87,-2.002,blueraven_hr,,,,,,,,,,,,,,,-9.7085835,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.06,-0.99,-0.01,0.1,0.0,0.0,1.0,0.0,-7e-05,0.0
1755799903.872,-2.0,blueraven_hr,,,,,,,,,,,,,,,-9.7085835,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.06,-0.99,-0.01,0.0,-0.1,0.1,1.0,0.0,-7e-05,0.0
1755799903.874,-1.998,blueraven_hr,,,,,,,,,,,,,,,-9.7085835,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.06,-0.99,-0.02,0.1,0.0,0.1,1.0,0.0,-7e-05,0.0
1755799903.876,-1.996,blueraven_hr,,,,,,,,,,,,,,,-9.7085835,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.06,-0.99,-0.01,0.0,-0.2,0.0,1.0,0.0,-0.0001,0.0
1755799903.878,-1.994,blueraven_hr,,,,,,,,,,,,,,,-9.7085835,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.06,-0.99,-0.02,0.0,-0.2,0.0,1.0,0.0,-0.0001,0.0
1755799903.88,-1.992,blueraven_hr,,,,,,,,,,,,,,,-9.7085835,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.05,-0.99,-0.01,0.0,-0.1,-0.1,1.0,0.0,-0.0001,0.0
1755799903.882,-1.99,blueraven_hr,,,,,,,,,,,,,,,-9.7085835,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.07,-0.99,-0.01,0.1,0.0,-0.1,1.0,3e-05,-0.0001,0.0
1755799903.884,-1.988,blueraven_hr,,,,,,,,,,,,,,,-9.7085835,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.07,-0.99,-0.01,0.1,-0.4,0.1,1.0,3e-05,-0.0001,0.0
1755799903.886,-1.986,blueraven_hr,,,,,,,,,,,,,,,-9.80665,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.07,-1.0,-0.01,0.1,-0.1,0.0,1.0,3e-05,-0.0001,0.0
1755799903.888,-1.984,blueraven_hr,,,,,,,,,,,,,,,-9.7085835,,,,,,,,,,,,,,,,,,,,,,,gfr-0.1,-0.06,-0.99,-0.02,0.0,-0.1,0.0,1.0,3e-05,-0.0001,0.0
