t_epoch_s,t_flight_s,source,state,event,alt_baro_m_msl,alt_gps_m_msl,alt_agl_m,alt_inertial_m,lat_deg,lon_deg,v_up_mps,v_dr_mps,v_cr_mps,pos_dr_m,pos_cr_m,speed_2d_mps,a_up_mps2,tilt_deg,future_angle_deg,roll_deg,sats,hdop,pressure_pa,temperature_c,v_batt_v,flag_liftoff,flag_apogee,flag_press_increasing,flag_burnout_coast,flag_apo_fired,flag_main_fired,flag_3rd_fired,flag_4th_fired,flag_normal_ascent,flag_accel_vel_le_0,flag_eci_vvel_le_0,flag_tilt_exceeded_90deg,device_sn,fw_version,schema_version,accel_x_g,accel_y_g,accel_z_g,gyro_x_degps,gyro_y_degps,gyro_z_degps,quat_1,quat_2,quat_3,quat_4
1755799903.952,-1.9200000762939453,blueraven,,,294.95496,,0.27432,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,97829.2875,34.55555555555556,4.09,0,0,0,0,0,0,0,0,0,1,1,0,,,gfr-0.1,,,,,,,,,,
1755799903.972,-1.9000000953674316,blueraven,,,294.80256,,0.09144000000000001,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,97829.2875,34.55555555555556,4.09,0,0,0,0,0,0,0,0,0,1,1,0,,,gfr-0.1,,,,,,,,,,
1755799903.992,-1.8799998760223389,blueraven,,,294.4368,,-0.27432,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,97839.42,34.55555555555556,4.091,0,0,0,0,0,0,0,0,0,1,1,0,,,gfr-0.1,,,,,,,,,,
1755799904.012,-1.8599998950958252,blueraven,,,294.4368,,-0.27432,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,97839.42,34.55555555555556,4.09,0,0,0,0,0,0,0,0,0,1,1,0,,,gfr-0.1,,,,,,,,,,
1755799904.032,-1.8399999141693115,blueraven,,,294.80256,,0.09144000000000001,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,97829.2875,34.55555555555556,4.09,0,0,0,0,0,0,0,0,0,1,1,0,,,gfr-0.1,,,,,,,,,,
1755799904.052,-1.8199999332427979,blueraven,,,294.80256,,0.09144000000000001,0.0,,,0.0,0.0,0.3048,0.0,0.0,0.3048,,0.0,0.0,0.0,,,97829.2875,34.55555555555556,4.092,0,0,0,0,0,0,0,0,0,1,1,0,,,gfr-0.1,,,,,,,,,,
1755799904.072,-1.7999999523162842,blueraven,,,294.2844,,-0.42672,0.0,,,0.0,0.0,0.3048,0.0,0.0,0.3048,,0.0,0.0,0.0,,,97839.42,34.55555555555556,4.091,0,0,0,0,0,0,0,0,0,1,1,0,,,gfr-0.1,,,,,,,,,,
1755799904.092,-1.7799999713897705,blueraven,,,294.4368,,-0.27432,0.0,,,0.0,0.0,0.3048,0.0,0.0,0.3048,,0.0,0.0,0.0,,,97839.42,34.55555555555556,4.092,0,0,0,0,0,0,0,0,0,1,1,0,,,gfr-0.1,,,,,,,,,,
1755799904.112,-1.7599999904632568,blueraven,,,294.80256,,0.09144000000000001,0.0,,,0.0,0.0,0.3048,0.0,0.0,0.3048,,0.0,0.0,0.0,,,97829.2875,34.55555555555556,4.091,0,0,0,0,0,0,0,0,0,1,1,0,,,gfr-0.1,,,,,,,,,,
1755799904.132,-1.7400000095367432,blueraven,,,294.80256,,0.09144000000000001,0.0,,,0.0,0.0,0.3048,0.0,0.0,0.3048,,0.0,0.0,0.0,,,97829.2875,34.55555555555556,4.092,0,0,0,0,0,0,0,0,0,1,1,0,,,gfr-0.1,,,,,,,,,,
1755799904.152,-1.7200000286102295,blueraven,,,293.91864,,-0.7924800000000001,0.0,,,0.0,0.0,0.3048,0.0,0.0,0.3048,,0.0,0.0,0.0,,,97839.42,34.55555555555556,4.092,0,0,0,0,0,0,0,0,0,1,1,0,,,gfr-0.1,,,,,,,,,,
1755799904.172,-1.7000000476837158,blueraven,,,293.91864,,-0.7924800000000001,0.0,,,0.0,0.0,0.3048,0.0,0.0,0.3048,,0.0,0.0,0.0,,,97839.42,34.55555555555556,4.091,0,0,0,0,0,0,0,0,0,1,1,0,,,gfr-0.1,,,,,,,,,,
1755799904.192,-1.6800000667572021,blueraven,,,295.13784,,0.42672,0.0,,,0.0,0.0,0.3048,0.0,0.0,0.3048,,0.0,0.0,0.0,,,97829.2875,34.55555555555556,4.092,0,0,0,0,0,0,0,0,0,1,1,0,,,gfr-0.1,,,,,,,,,,
1755799904.212,-1.6600000858306885,blueraven,,,295.32072,,0.6096,0.0,,,0.0,0.0,0.3048,0.0,0.0,0.3048,,0.0,0.0,0.0,,,97829.2875,34.55555555555556,4.091,0,0,0,0,0,0,0,0,0,1,1,0,,,gfr-0.1,,,,,,,,,,
1755799904.232,-1.6399998664855957,blueraven,,,294.80256,,0.09144000000000001,0.0,,,0.0,0.0,0.3048,0.0,0.0,0.3048,,0.0,0.0,0.0,,,97829.2875,34.55555555555556,4.092,0,0,0,0,0,0,0,0,0,1,1,0,,,gfr-0.1,,,,,,,,,,
1755799904.252,-1.619999885559082,blueraven,,,294.80256,,0.09144000000000001,0.0,,,0.0,0.0,0.3048,0.0,0.0,0.3048,,0.0,0.0,0.0,,,97829.2875,34.55555555555556,4.091,0,0,0,0,0,0,0,0,0,1,1,0,,,gfr-0.1,,,,,,,,,,
