t_epoch_s,t_flight_s,source,state,event,alt_baro_m_msl,alt_gps_m_msl,alt_agl_m,alt_inertial_m,lat_deg,lon_deg,v_up_mps,v_dr_mps,v_cr_mps,pos_dr_m,pos_cr_m,speed_2d_mps,a_up_mps2,tilt_deg,future_angle_deg,roll_deg,sats,hdop,pressure_pa,temperature_c,v_batt_v,flag_liftoff,flag_apogee,flag_press_increasing,flag_burnout_coast,flag_apo_fired,flag_main_fired,flag_3rd_fired,flag_4th_fired,flag_normal_ascent,flag_accel_vel_le_0,flag_eci_vvel_le_0,flag_tilt_exceeded_90deg,device_sn,fw_version,schema_version,accel_x_g,accel_y_g,accel_z_g,gyro_x_degps,gyro_y_degps,gyro_z_degps,quat_1,quat_2,quat_3,quat_4
1755782925.051,-2581.954999923706,featherweight,,,,382.3716,17.434559999999976,,47.98676,-81.8484,0.0,,,,,0.0,,,,,,,,,4.143,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1755782926.111,-2580.8949999809265,featherweight,,,,379.44552000000004,14.50848000000002,,47.98676,-81.84843,0.0,,,,,0.0,,,,,,,,,4.143,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1755782927.052,-2579.9539999961853,featherweight,,,,378.16536,13.228319999999997,,47.98679,-81.84843,0.0,,,,,0.0,,,,,,,,,4.143,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1755782928.066,-2578.9400000572205,featherweight,,,,377.0376,12.100559999999973,,47.98679,-81.84845,0.0,,,,,0.0,,,,,,,,,4.143,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1755782929.054,-2577.952000141144,featherweight,,,,375.90984000000003,10.972800000000007,,47.98679,-81.84846,0.0,,,,,0.0,,,,,,,,,4.146,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1755782930.115,-2576.891000032425,featherweight,,,,375.45264000000003,10.515600000000006,,47.98679,-81.84846,0.0,,,,,0.0,,,,,,,,,4.146,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1755782931.058,-2575.9479999542236,featherweight,,,,375.48312000000004,10.546080000000018,,47.98679,-81.84846,0.0,,,,,0.0,,,,,,,,,4.144,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1755782932.05,-2574.9560000896454,featherweight,,,,375.48312000000004,10.546080000000018,,47.98679,-81.84846,0.0,,,,,0.0,,,,,,,,,4.144,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1755782933.063,-2573.9430000782013,featherweight,,,,375.0564,10.119359999999972,,47.98679,-81.84846,0.0,,,,,0.0,,,,,,,,,4.146,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1755782934.051,-2572.954999923706,featherweight,,,,374.72112000000004,9.784080000000017,,47.98679,-81.84847,0.0,,,,,0.0,,,,,,,,,4.146,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1755782935.132,-2571.8740000724792,featherweight,,,,374.53824000000003,9.601200000000006,,47.98679,-81.84847,0.0,,,,,0.0,,,,,,,,,4.145,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
1755782936.056,-2570.9500000476837,featherweight,,,,374.41632000000004,9.479280000000017,,47.98679,-81.84847,0.0,,,,,0.0,,,,,,,,,4.145,,,,,,,,,,,,,,,gfr-0.1,,,,,,,,,,
