t_epoch_s,t_flight_s,source,state,event,alt_baro_m_msl,alt_gps_m_msl,alt_agl_m,alt_inertial_m,lat_deg,lon_deg,v_up_mps,v_dr_mps,v_cr_mps,pos_dr_m,pos_cr_m,speed_2d_mps,a_up_mps2,tilt_deg,future_angle_deg,roll_deg,sats,hdop,pressure_pa,temperature_c,v_batt_v,flag_liftoff,flag_apogee,flag_press_increasing,flag_burnout_coast,flag_apo_fired,flag_main_fired,flag_3rd_fired,flag_4th_fired,flag_normal_ascent,flag_accel_vel_le_0,flag_eci_vvel_le_0,flag_tilt_exceeded_90deg,device_sn,fw_version,schema_version
1755799905.7,0.0,telemega,boost,,299.45,368.0,0.77,,47.9868668,-81.8484808,,,,,,,0.98,,,,11,0.8,97779.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.71,0.009999990463256836,telemega,boost,,298.42,368.0,-0.26,,47.9868668,-81.8484808,,,,,,,-1.96,,,,11,0.8,97791.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.72,0.019999980926513672,telemega,boost,,298.25,368.0,-0.43,,47.9868668,-81.8484808,,,,,,,-0.49,,,,11,0.8,97793.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.73,0.029999971389770508,telemega,boost,,298.94,368.0,0.26,,47.9868668,-81.8484808,,,,,,,-0.0,,,,11,0.8,97785.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.74,0.039999961853027344,telemega,boost,,298.51,368.0,-0.17,,47.9868668,-81.8484808,,,,,,,2.94,,,,11,0.8,97790.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.75,0.04999995231628418,telemega,boost,,297.74,368.0,-0.94,,47.9868668,-81.8484808,,,,,,,-0.98,,,,11,0.8,97799.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.76,0.059999942779541016,telemega,boost,,299.36,368.0,0.69,,47.9868668,-81.8484808,,,,,,,2.94,,,,11,0.8,97780.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.77,0.06999993324279785,telemega,boost,,298.42,368.0,-0.26,,47.9868668,-81.8484808,,,,,,,1.47,,,,11,0.8,97791.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.78,0.07999992370605469,telemega,boost,,297.74,368.0,-0.94,,47.9868668,-81.8484808,,,,,,,-0.98,,,,11,0.8,97799.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.79,0.08999991416931152,telemega,boost,,298.59,368.0,-0.09,,47.9868668,-81.8484808,,,,,,,-0.49,,,,11,0.8,97789.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.8,0.09999990463256836,telemega,boost,,297.82,368.0,-0.86,,47.9868668,-81.8484808,,,,,,,-0.98,,,,11,0.8,97798.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.81,0.1099998950958252,telemega,boost,,299.19,368.0,0.51,,47.9868668,-81.8484808,,,,,,,0.49,,,,11,0.8,97782.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.82,0.11999988555908203,telemega,boost,,299.45,368.0,0.77,,47.9868668,-81.8484808,,,,,,,2.94,,,,11,0.8,97779.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.83,0.12999987602233887,telemega,boost,,297.56,368.0,-1.11,,47.9868668,-81.8484808,,,,,,,0.98,,,,11,0.8,97801.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.84,0.1399998664855957,telemega,boost,,297.82,368.0,-0.86,,47.9868668,-81.8484808,,,,,,,-1.47,,,,11,0.8,97798.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.85,0.14999985694885254,telemega,boost,,298.85,368.0,0.17,,47.9868668,-81.8484808,,,,,,,-0.98,,,,11,0.8,97786.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.86,0.15999984741210938,telemega,boost,,299.11,368.0,0.43,,47.9868668,-81.8484808,,,,,,,-0.98,,,,11,0.8,97783.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.87,0.1699998378753662,telemega,boost,,298.42,368.0,-0.26,,47.9868668,-81.8484808,,,,,,,-0.98,,,,11,0.8,97791.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.88,0.18000006675720215,telemega,boost,,297.99,368.0,-0.69,,47.9868668,-81.8484808,,,,,,,-1.96,,,,11,0.8,97796.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.89,0.19000005722045898,telemega,boost,,298.76,368.0,0.09,,47.9868668,-81.8484808,,,,,,,-0.0,,,,11,0.8,97787.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.9,0.20000004768371582,telemega,boost,,298.16,368.0,-0.51,,47.9868668,-81.8484808,,,,,,,0.98,,,,11,0.8,97794.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.91,0.21000003814697266,telemega,boost,,297.39,368.0,-1.28,,47.9868668,-81.8484808,,,,,,,-1.47,,,,11,0.8,97803.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.92,0.2200000286102295,telemega,boost,,298.34,368.0,-0.34,,47.9868668,-81.8484808,,,,,,,-3.92,,,,11,0.8,97792.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.93,0.23000001907348633,telemega,boost,,296.11,368.0,-2.57,,47.9868668,-81.8484808,,,,,,,8.83,,,,11,0.8,97818.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.94,0.24000000953674316,telemega,boost,,289.34,368.0,-9.33,,47.9868668,-81.8484808,,,,,,,80.9,,,,11,0.8,97897.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.95,0.25,telemega,boost,,303.48,368.0,4.8,,47.9868668,-81.8484808,,,,,,,61.29,,,,11,0.8,97732.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.96,0.25999999046325684,telemega,boost,,297.91,368.0,-0.77,,47.9868668,-81.8484808,,,,,,,75.02,,,,11,0.8,97797.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.97,0.26999998092651367,telemega,boost,,302.28,368.0,3.6,,47.9868668,-81.8484808,,,,,,,79.92,,,,11,0.8,97746.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.98,0.2799999713897705,telemega,boost,,301.25,368.0,2.57,,47.9868668,-81.8484808,,,,,,,77.96,,,,11,0.8,97758.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799905.99,0.28999996185302734,telemega,boost,,300.65,368.0,1.97,,47.9868668,-81.8484808,,,,,,,75.51,,,,11,0.8,97765.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.0,0.2999999523162842,telemega,boost,,301.25,368.0,2.57,,47.9868668,-81.8484808,,,,,,,78.94,,,,11,0.8,97758.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.01,0.309999942779541,telemega,boost,,299.88,368.0,1.2,,47.9868668,-81.8484808,,,,,,,76.0,,,,11,0.8,97774.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.02,0.31999993324279785,telemega,boost,,301.76,368.0,3.08,,47.9868668,-81.8484808,,,,,,,76.0,,,,11,0.8,97752.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.03,0.3299999237060547,telemega,boost,,300.65,368.0,1.97,,47.9868668,-81.8484808,,,,,,,80.41,,,,11,0.8,97765.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.04,0.3399999141693115,telemega,boost,,301.68,368.0,3.0,,47.9868668,-81.8484808,,,,,,,76.98,,,,11,0.8,97753.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.05,0.34999990463256836,telemega,boost,,299.96,368.0,1.29,,47.9868668,-81.8484808,,,,,,,78.45,,,,11,0.8,97773.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.06,0.3599998950958252,telemega,boost,,300.56,368.0,1.88,,47.9868668,-81.8484808,,,,,,,82.87,,,,11,0.8,97766.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.07,0.36999988555908203,telemega,boost,,301.51,368.0,2.83,,47.9868668,-81.8484808,,,,,,,80.41,,,,11,0.8,97755.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.08,0.37999987602233887,telemega,boost,,299.79,368.0,1.11,,47.9868668,-81.8484808,,,,,,,79.43,,,,11,0.8,97775.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.09,0.3899998664855957,telemega,boost,,300.05,368.0,1.37,,47.9868668,-81.8484808,,,,,,,77.96,,,,11,0.8,97772.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.1,0.39999985694885254,telemega,boost,,300.56,368.0,1.88,,47.9868668,-81.8484808,,,,,,,80.41,,,,11,0.8,97766.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.11,0.4099998474121094,telemega,boost,,300.56,368.0,1.88,,47.9868668,-81.8484808,,,,,,,84.83,,,,11,0.8,97766.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.12,0.4199998378753662,telemega,boost,,300.99,368.0,2.31,,47.9868668,-81.8484808,,,,,,,84.83,,,,11,0.8,97761.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.13,0.43000006675720215,telemega,boost,,299.79,368.0,1.11,,47.9868668,-81.8484808,,,,,,,81.89,,,,11,0.8,97775.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.14,0.440000057220459,telemega,boost,,301.51,368.0,2.83,,47.9868668,-81.8484808,,,,,,,83.85,,,,11,0.8,97755.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.15,0.4500000476837158,telemega,boost,,302.02,368.0,3.34,,47.9868668,-81.8484808,,,,,,,84.83,,,,11,0.8,97749.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.16,0.46000003814697266,telemega,boost,,301.51,368.0,2.83,,47.9868668,-81.8484808,,,,,,,80.41,,,,11,0.8,97755.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.17,0.4700000286102295,telemega,boost,,301.85,368.0,3.17,,47.9868668,-81.8484808,,,,,,,81.4,,,,11,0.8,97751.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.18,0.48000001907348633,telemega,boost,,304.25,368.0,5.57,,47.9868668,-81.8484808,,,,,,,84.83,,,,11,0.8,97723.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.19,0.49000000953674316,telemega,boost,,304.68,368.0,6.0,,47.9868668,-81.8484808,,,,,,,84.34,,,,11,0.8,97718.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.2,0.5,telemega,boost,,301.08,368.0,2.4,,47.9868668,-81.8484808,,,,,,,88.26,,,,11,0.8,97760.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.21,0.5099999904632568,telemega,boost,,304.59,368.0,5.91,,47.9868668,-81.8484808,,,,,,,86.3,,,,11,0.8,97719.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.22,0.5199999809265137,telemega,boost,,298.59,368.0,-0.09,,47.9868668,-81.8484808,,,,,,,85.32,,,,11,0.8,97789.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.23,0.5299999713897705,telemega,boost,,304.59,368.0,5.91,,47.9868668,-81.8484808,,,,,,,85.81,,,,11,0.8,97719.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.24,0.5399999618530273,telemega,boost,,304.51,368.0,5.83,,47.9868668,-81.8484808,,,,,,,88.75,,,,11,0.8,97720.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.25,0.5499999523162842,telemega,boost,,304.85,368.0,6.17,,47.9868668,-81.8484808,,,,,,,87.28,,,,11,0.8,97716.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.26,0.559999942779541,telemega,boost,,301.42,368.0,2.74,,47.9868668,-81.8484808,,,,,,,90.22,,,,11,0.8,97756.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.27,0.5699999332427979,telemega,boost,,304.85,368.0,6.17,,47.9868668,-81.8484808,,,,,,,88.75,,,,11,0.8,97716.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.28,0.5799999237060547,telemega,boost,,304.76,368.0,6.08,,47.9868668,-81.8484808,,,,,,,88.75,,,,11,0.8,97717.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.29,0.5899999141693115,telemega,boost,,302.02,368.0,3.34,,47.9868668,-81.8484808,,,,,,,90.22,,,,11,0.8,97749.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.3,0.5999999046325684,telemega,boost,,302.71,368.0,4.03,,47.9868668,-81.8484808,,,,,,,89.24,,,,11,0.8,97741.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.31,0.6099998950958252,telemega,boost,,302.88,368.0,4.2,,47.9868668,-81.8484808,,,,,,,88.26,,,,11,0.8,97739.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.32,0.619999885559082,telemega,boost,,305.11,368.0,6.43,,47.9868668,-81.8484808,,,,,,,90.71,,,,11,0.8,97713.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.33,0.6299998760223389,telemega,boost,,305.02,368.0,6.34,,47.9868668,-81.8484808,,,,,,,88.75,,,,11,0.8,97714.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.34,0.6399998664855957,telemega,boost,,306.22,368.0,7.54,,47.9868668,-81.8484808,,,,,,,87.77,,,,11,0.8,97700.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.35,0.6499998569488525,telemega,boost,,305.53,368.0,6.86,,47.9868668,-81.8484808,,,,,,,93.16,,,,11,0.8,97708.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.36,0.6599998474121094,telemega,boost,,306.99,368.0,8.31,,47.9868668,-81.8484808,,,,,,,92.67,,,,11,0.8,97691.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.37,0.6699998378753662,telemega,boost,,304.76,368.0,6.08,,47.9868668,-81.8484808,,,,,,,94.14,,,,11,0.8,97717.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.38,0.6800000667572021,telemega,boost,,307.08,368.0,8.4,,47.9868668,-81.8484808,,,,,,,90.71,,,,11,0.8,97690.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.39,0.690000057220459,telemega,boost,,307.51,368.0,8.83,,47.9868668,-81.8484808,,,,,,,91.2,,,,11,0.8,97685.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.4,0.7000000476837158,telemega,boost,,307.34,368.0,8.66,,47.9868668,-81.8484808,,,,,,,92.18,,,,11,0.8,97687.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.41,0.7100000381469727,telemega,boost,,307.25,368.0,8.57,,47.9868668,-81.8484808,,,,,,,91.69,,,,11,0.8,97688.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.42,0.7200000286102295,telemega,boost,,306.82,368.0,8.14,,47.9868668,-81.8484808,,,,,,,89.73,,,,11,0.8,97693.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.43,0.7300000190734863,telemega,boost,,309.82,368.0,11.14,,47.9868668,-81.8484808,,,,,,,91.69,,,,11,0.8,97658.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.44,0.7400000095367432,telemega,boost,,309.22,368.0,10.54,,47.9868668,-81.8484808,,,,,,,91.69,,,,11,0.8,97665.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.45,0.75,telemega,boost,,310.08,368.0,11.4,,47.9868668,-81.8484808,,,,,,,94.63,,,,11,0.8,97655.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.46,0.7599999904632568,telemega,boost,,309.39,368.0,10.71,,47.9868668,-81.8484808,,,,,,,89.73,,,,11,0.8,97663.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.47,0.7699999809265137,telemega,boost,,310.42,368.0,11.74,,47.9868668,-81.8484808,,,,,,,90.71,,,,11,0.8,97651.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.48,0.7799999713897705,telemega,boost,,311.79,368.0,13.12,,47.9868668,-81.8484808,,,,,,,95.61,,,,11,0.8,97635.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.49,0.7899999618530273,telemega,boost,,310.68,368.0,12.0,,47.9868668,-81.8484808,,,,,,,95.12,,,,11,0.8,97648.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.5,0.7999999523162842,telemega,boost,,314.2,368.0,15.52,,47.9868668,-81.8484808,,,,,,,95.12,,,,11,0.8,97607.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.51,0.809999942779541,telemega,boost,,311.02,368.0,12.34,,47.9868668,-81.8484808,,,,,,,92.67,,,,11,0.8,97644.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.52,0.8199999332427979,telemega,boost,,313.94,368.0,15.26,,47.9868668,-81.8484808,,,,,,,90.71,,,,11,0.8,97610.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.53,0.8299999237060547,telemega,boost,,311.19,368.0,12.52,,47.9868668,-81.8484808,,,,,,,93.16,,,,11,0.8,97642.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.54,0.8399999141693115,telemega,boost,,313.0,368.0,14.32,,47.9868668,-81.8484808,,,,,,,93.16,,,,11,0.8,97621.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.55,0.8499999046325684,telemega,boost,,314.37,368.0,15.69,,47.9868668,-81.8484808,,,,,,,96.11,,,,11,0.8,97605.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.56,0.8599998950958252,telemega,boost,,314.28,368.0,15.6,,47.9868668,-81.8484808,,,,,,,93.65,,,,11,0.8,97606.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.57,0.869999885559082,telemega,boost,,315.23,368.0,16.55,,47.9868668,-81.8484808,,,,,,,96.6,,,,11,0.8,97595.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.58,0.8799998760223389,telemega,boost,,314.54,368.0,15.86,,47.9868668,-81.8484808,,,,,,,96.6,,,,11,0.8,97603.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.59,0.8899998664855957,telemega,boost,,316.0,368.0,17.32,,47.9868668,-81.8484808,,,,,,,95.61,,,,11,0.8,97586.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.6,0.8999998569488525,telemega,boost,,316.94,368.0,18.26,,47.9868668,-81.8484808,,,,,,,95.12,,,,11,0.8,97575.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.61,0.9099998474121094,telemega,boost,,317.46,368.0,18.78,,47.9868668,-81.8484808,,,,,,,99.05,,,,11,0.8,97569.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.62,0.9199998378753662,telemega,boost,,318.32,368.0,19.64,,47.9868668,-81.8484808,,,,,,,96.6,,,,11,0.8,97559.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.63,0.9300000667572021,telemega,boost,,318.06,368.0,19.38,,47.9868668,-81.8484808,,,,,,,92.67,,,,11,0.8,97562.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.64,0.940000057220459,telemega,boost,,320.2,368.0,21.53,,47.9868668,-81.8484808,,,,,,,96.11,,,,11,0.8,97537.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.65,0.9500000476837158,telemega,boost,,320.03,368.0,21.35,,47.9868668,-81.8484808,,,,,,,98.56,,,,11,0.8,97539.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.66,0.9600000381469727,telemega,boost,,319.95,368.0,21.27,,47.9868668,-81.8484808,,,,,,,96.6,,,,11,0.8,97540.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.67,0.9700000286102295,telemega,boost,,322.09,368.0,23.41,,47.9868668,-81.8484808,,,,,,,98.56,,,,11,0.8,97515.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.68,0.9800000190734863,telemega,boost,,322.78,368.0,24.1,,47.9868668,-81.8484808,,,,,,,98.56,,,,11,0.8,97507.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.69,0.9900000095367432,telemega,boost,,322.61,368.0,23.93,,47.9868668,-81.8484808,,,,,,,97.58,,,,11,0.8,97509.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.7,1.0,telemega,boost,,325.19,368.0,26.51,,47.9868668,-81.8484808,,,,,,,95.12,,,,11,0.8,97479.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.71,1.0099999904632568,telemega,boost,,323.38,368.0,24.7,,47.9868668,-81.8484808,,,,,,,98.56,,,,11,0.8,97500.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.72,1.0199999809265137,telemega,boost,,325.27,368.0,26.59,,47.9868668,-81.8484808,,,,,,,97.09,,,,11,0.8,97478.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.73,1.0299999713897705,telemega,boost,,325.53,368.0,26.85,,47.9868668,-81.8484808,,,,,,,99.05,,,,11,0.8,97475.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.74,1.0399999618530273,telemega,boost,,325.96,368.0,27.28,,47.9868668,-81.8484808,,,,,,,99.05,,,,11,0.8,97470.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.75,1.0499999523162842,telemega,boost,,326.39,368.0,27.71,,47.9868668,-81.8484808,,,,,,,98.56,,,,11,0.8,97465.0,36.2,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.76,1.059999942779541,telemega,boost,,327.25,368.0,28.57,,47.9868668,-81.8484808,,,,,,,97.09,,,,11,0.8,97455.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
1755799906.77,1.0699999332427979,telemega,boost,,328.36,368.0,29.69,,47.9868668,-81.8484808,,,,,,,100.52,,,,11,0.8,97442.0,36.3,4.12,,,,,,,,,,,,,6583,6,gfr-0.1
